Data Source Name,Agency Number,Registration Contract ID,Commodity Line,OGE Contract #,Contract Purpose,Budget Name,OGE Registered Amt,Prime Contractor Name,Prime Contractor Address,Prime Contractor City,Prime Contractor State,Prime Contractor Zip
NYCEDC,z81,CTA180120100011658, 1,16850006,St. George Ferry Terminal - Retail,St. George Ferry Terminal - Retail, 1475851.15,"HUNTER ROBERTS CONSTRUCTION GROUP, LLC",2 WORLD FINANCIAL CENTER,NEW YORK,NY,10281
NYCEDC,z81,CTA180120100011658, 10,16850006,St. George Ferry Terminal - Retail,St. George Ferry Terminal - Retail, 36673.6,"HUNTER ROBERTS CONSTRUCTION GROUP, LLC",2 WORLD FINANCIAL CENTER,NEW YORK,NY,10281
NYCEDC,z81,CTA180120100011658, 4,16850006,St. George Ferry Terminal - Retail,St. George Ferry Terminal - Retail, 444804.7,"HUNTER ROBERTS CONSTRUCTION GROUP, LLC",2 WORLD FINANCIAL CENTER,NEW YORK,NY,10281
NYCEDC,z81,CTA180120100011658, 7,16850006,St. George Ferry Terminal - Retail,St. George Ferry Terminal - Retail, 2371.19,"HUNTER ROBERTS CONSTRUCTION GROUP, LLC",2 WORLD FINANCIAL CENTER,NEW YORK,NY,10281
NYCEDC,z81,CTA180120100011658, 9,16850006,St. George Ferry Terminal - Retail,St. George Ferry Terminal - Retail, 50490.83,"HUNTER ROBERTS CONSTRUCTION GROUP, LLC",2 WORLD FINANCIAL CENTER,NEW YORK,NY,10281
NYCEDC,z81,CTA180120100011658, 12,16850006,St. George Ferry Terminal - Retail,St. George Ferry Terminal - Retail, 35298.6,"HUNTER ROBERTS CONSTRUCTION GROUP, LLC",2 WORLD FINANCIAL CENTER,NEW YORK,NY,10281
NYCEDC,z81,CTA180120100011658, 11,16850006,St. George Ferry Terminal - Retail,St. George Ferry Terminal - Retail, 119339.08,"HUNTER ROBERTS CONSTRUCTION GROUP, LLC",2 WORLD FINANCIAL CENTER,NEW YORK,NY,10281
NYCEDC,z81,CTA180120100011658, 3,16850006,St. George Ferry Terminal - Retail,St. George Ferry Terminal - Retail, 213000.0,"HUNTER ROBERTS CONSTRUCTION GROUP, LLC",2 WORLD FINANCIAL CENTER,NEW YORK,NY,10281
NYCEDC,z81,CTA180120100011658, 8,16850006,St. George Ferry Terminal - Retail,St. George Ferry Terminal - Retail, 214681.11,"HUNTER ROBERTS CONSTRUCTION GROUP, LLC",2 WORLD FINANCIAL CENTER,NEW YORK,NY,10281
NYCEDC,z81,CTA180120100011658, 6,16850006,St. George Ferry Terminal - Retail,St. George Ferry Terminal - Retail, 500000.0,"HUNTER ROBERTS CONSTRUCTION GROUP, LLC",2 WORLD FINANCIAL CENTER,NEW YORK,NY,10281
NYCEDC,z81,CTA180120100011837, 1,23960002,Rockaway Park Bulkhead Rehabilitation,Rockaway Park Bulkhead Rehabilitation, 155000.0,HUDSON MERIDIAN CONSTRUCTION GROUP,40 RECTOR STREET,NEW YORK,NY,10006
NYCEDC,z81,CTA180120100011837, 10,23960002,Rockaway Park Bulkhead Rehabilitation,Rockaway Park Bulkhead Rehabilitation, 62255.0,HUDSON MERIDIAN CONSTRUCTION GROUP,40 RECTOR STREET,NEW YORK,NY,10006
NYCEDC,z81,CTA180120100011837, 3,23960002,Rockaway Park Bulkhead Rehabilitation,Rockaway Park Bulkhead Rehabilitation, 201995.0,HUDSON MERIDIAN CONSTRUCTION GROUP,40 RECTOR STREET,NEW YORK,NY,10006
NYCEDC,z81,CTA180120100011837, 7,23960002,Rockaway Park Bulkhead Rehabilitation,Rockaway Park Bulkhead Rehabilitation, 57975.0,HUDSON MERIDIAN CONSTRUCTION GROUP,40 RECTOR STREET,NEW YORK,NY,10006
NYCEDC,z81,CTA180120100011837, 5,23960002,Rockaway Park Bulkhead Rehabilitation,Rockaway Park Bulkhead Rehabilitation, 5016885.0,HUDSON MERIDIAN CONSTRUCTION GROUP,40 RECTOR STREET,NEW YORK,NY,10006
NYCEDC,z81,CTA180120100011837, 13,23960002,Rockaway Park Bulkhead Rehabilitation,Rockaway Park Bulkhead Rehabilitation, 26795.0,HUDSON MERIDIAN CONSTRUCTION GROUP,40 RECTOR STREET,NEW YORK,NY,10006
NYCEDC,z81,CTA180120100011837, 14,23960002,Rockaway Park Bulkhead Rehabilitation,Rockaway Park Bulkhead Rehabilitation, 44923.0,HUDSON MERIDIAN CONSTRUCTION GROUP,40 RECTOR STREET,NEW YORK,NY,10006
NYCEDC,z81,CTA180120100011837, 8,23960002,Rockaway Park Bulkhead Rehabilitation,Rockaway Park Bulkhead Rehabilitation, 60000.59,HUDSON MERIDIAN CONSTRUCTION GROUP,40 RECTOR STREET,NEW YORK,NY,10006
NYCEDC,z81,CTA180120100011837, 4,33630009,Rockaway Park Bulkhead Rehabilitation,Rockaway Park Bulkhead Rehabilitation, 31335.0,TRC ENVIRONMENTAL CORPORATION,21 GRIFFIN ROAD NORTH,WINDSOR,CT,6095
NYCEDC,z81,CTA180120100011837, 11,23960002,Rockaway Park Bulkhead Rehabilitation,Rockaway Park Bulkhead Rehabilitation, 73735.0,HUDSON MERIDIAN CONSTRUCTION GROUP,40 RECTOR STREET,NEW YORK,NY,10006
NYCEDC,z81,CTA180120100011837, 2,23960002,Rockaway Park Bulkhead Rehabilitation,Rockaway Park Bulkhead Rehabilitation, 9295.0,HUDSON MERIDIAN CONSTRUCTION GROUP,40 RECTOR STREET,NEW YORK,NY,10006
NYCEDC,z81,CTA180120100011837, 9,23960002,Rockaway Park Bulkhead Rehabilitation,Rockaway Park Bulkhead Rehabilitation, 161455.0,HUDSON MERIDIAN CONSTRUCTION GROUP,40 RECTOR STREET,NEW YORK,NY,10006
NYCEDC,z81,CTA180120100011837, 12,23960002,Rockaway Park Bulkhead Rehabilitation,Rockaway Park Bulkhead Rehabilitation, 39963.0,HUDSON MERIDIAN CONSTRUCTION GROUP,40 RECTOR STREET,NEW YORK,NY,10006
NYCEDC,z81,CTA180120100011837, 6,23960002,Rockaway Park Bulkhead Rehabilitation,Rockaway Park Bulkhead Rehabilitation, 464986.15,HUDSON MERIDIAN CONSTRUCTION GROUP,40 RECTOR STREET,NEW YORK,NY,10006
NYCEDC,z81,CTA180120100011991, 4,23960002,Arthur Kill Lift Bridge Cofferdam Rehabilitation,Arthur Kill Lift Bridge Cofferdam Rehabilitation, 49208.36,HUDSON MERIDIAN CONSTRUCTION GROUP,40 RECTOR STREET,NEW YORK,NY,10006
NYCEDC,z81,CTA180120100011991, 2,23960002,Arthur Kill Lift Bridge Cofferdam Rehabilitation,Arthur Kill Lift Bridge Cofferdam Rehabilitation, 15615.75,HUDSON MERIDIAN CONSTRUCTION GROUP,40 RECTOR STREET,NEW YORK,NY,10006
NYCEDC,z81,CTA180120100011991, 5,23960002,Arthur Kill Lift Bridge Cofferdam Rehabilitation,Arthur Kill Lift Bridge Cofferdam Rehabilitation, 306151.1,HUDSON MERIDIAN CONSTRUCTION GROUP,40 RECTOR STREET,NEW YORK,NY,10006
NYCEDC,z81,CTA180120100011991, 1,23960002,Arthur Kill Lift Bridge Cofferdam Rehabilitation,Arthur Kill Lift Bridge Cofferdam Rehabilitation, 6373200.0,HUDSON MERIDIAN CONSTRUCTION GROUP,40 RECTOR STREET,NEW YORK,NY,10006
NYCEDC,z81,CTA180120100011991, 3,23960002,Arthur Kill Lift Bridge Cofferdam Rehabilitation,Arthur Kill Lift Bridge Cofferdam Rehabilitation, 91557.0,HUDSON MERIDIAN CONSTRUCTION GROUP,40 RECTOR STREET,NEW YORK,NY,10006
NYCEDC,z81,CTA180120100012717, 1,36060001,FA - Manhattan Neighborhood Network Firehouse Renovation,FA - Manhattan Neighborhood Network Firehouse Renovation, 828750.0,To Be Announced,N/A,N/A,N/A,N/A
NYCEDC,z81,CTA180120100015421, 1,19820001,FA - Atlantic Yards,FA - Atlantic Yards, 31000000.0,EMPIRE STATE DEVELOPMENT CORP.,"625 BROADWAY, 8TH FL",ALBANY,NY,12245
NYCEDC,z81,CTA180120100015421, 2,19820001,FA - Atlantic Yards-Infrastucture,FA - Atlantic Yards-Infrastucture, 24000000.0,EMPIRE STATE DEVELOPMENT CORP.,"625 BROADWAY, 8TH FL",ALBANY,NY,12245
NYCEDC,z81,CTA180120100015421, 3,19820001,Atlantic Yards - Trunk Main in Atlantic Ave,Atlantic Yards - Trunk Main in Atlantic Ave, 8500000.0,EMPIRE STATE DEVELOPMENT CORP.,"625 BROADWAY, 8TH FL",ALBANY,NY,12245
NYCEDC,z81,CTA180120100016775, 1,28520001,Marine 9 Facility (Homeport),Marine 9 Facility (Homeport), 1463440.0,To Be Announced,N/A,N/A,N/A,N/A
NYCEDC,z81,CTA180120100017024, 2,23960001,Downtown Fulton Fish Market - Platform Rehab,Downtown Fulton Fish Market - Platform Rehab, 2070000.0,To Be Announced,N/A,N/A,N/A,N/A
NYCEDC,z81,CTA180120100017024, 3,23960001,Downtown Fulton Fish Market - Platform Rehab,Downtown Fulton Fish Market - Platform Rehab, 607509.03,To Be Announced,N/A,N/A,N/A,N/A
NYCEDC,z81,CTA180120100017024, 1,23960001,Downtown Fulton Fish Market - Platform Rehab,Downtown Fulton Fish Market - Platform Rehab, 3500.0,To Be Announced,N/A,N/A,N/A,N/A
NYCEDC,z81,CTA180120100017093, 1,23960001,Pier 94 HVAC and Electrical Improvements,Pier 94 HVAC and Electrical Improvements, 214592.0,To Be Announced,N/A,N/A,N/A,N/A
NYCEDC,z81,CTA180120100017093, 2,23960001,Pier 94 HVAC and Electrical Improvements,Pier 94 HVAC and Electrical Improvements, 17000.0,To Be Announced,N/A,N/A,N/A,N/A
NYCEDC,z81,CTA180120100017093, 3,23960001,Pier 94 HVAC and Electrical Improvements,Pier 94 HVAC and Electrical Improvements, 695981.92,To Be Announced,N/A,N/A,N/A,N/A
NYCEDC,z81,CTA180120100017825, 2,16850005,SBS Fit Out,SBS Fit Out, 350460.0,TURNER CONSTRUCTION CO.,375 HUDSON STREET,NEW YORK,NY,10014
NYCEDC,z81,CTA180120100017825, 3,16850005,SBS Fit Out,SBS Fit Out, 12360.0,TURNER CONSTRUCTION CO.,375 HUDSON STREET,NEW YORK,NY,10014
NYCEDC,z81,CTA180120100017825, 1,NULL,SBS Fit Out,SBS Fit Out, 537436.24,To Be Announced,N/A,N/A,N/A,N/A
NYCEDC,z81,CTA180120100017825, 4,16850005,SBS Fit Out,SBS Fit Out, 6120.0,TURNER CONSTRUCTION CO.,375 HUDSON STREET,NEW YORK,NY,10014
NYCEDC,z81,CTA180120100018390, 3,16850005,Port Security Grant Funds,Port Security Grant Funds, 369310.0,TURNER CONSTRUCTION CO.,375 HUDSON STREET,NEW YORK,NY,10014
NYCEDC,z81,CTA180120100018390, 4,16850005,Port Security Grant Funds,Port Security Grant Funds, 939765.0,TURNER CONSTRUCTION CO.,375 HUDSON STREET,NEW YORK,NY,10014
NYCEDC,z81,CTA180120100018390, 1,NULL,Port Security Grant Funds,Port Security Grant Funds, 521420.7,To Be Announced,N/A,N/A,N/A,N/A
NYCEDC,z81,CTA180120100018390, 5,16850005,Port Security Grant Funds,Port Security Grant Funds, 60813.27,TURNER CONSTRUCTION CO.,375 HUDSON STREET,NEW YORK,NY,10014
NYCEDC,z81,CTA180120100018390, 6,16850005,Port Security Grant Funds,Port Security Grant Funds, 1783036.19,TURNER CONSTRUCTION CO.,375 HUDSON STREET,NEW YORK,NY,10014
NYCEDC,z81,CTA180120100018390, 7,16850005,Port Security Grant Funds,Port Security Grant Funds, 108847.5,TURNER CONSTRUCTION CO.,375 HUDSON STREET,NEW YORK,NY,10014
NYCEDC,z81,CTA180120100018390, 2,16850005,Port Security Grant Funds,Port Security Grant Funds, 1570899.0,TURNER CONSTRUCTION CO.,375 HUDSON STREET,NEW YORK,NY,10014
NYCEDC,z81,CTA180120100018693, 2,28520002,Marine 9 Facility (Homeport),Marine 9 Facility (Homeport), 188885.12,"SAGE AND COOMBE ARCHITECTS, LLP",12-16 VESTRY STREET,NEW YORK,NY,10013
NYCEDC,z81,CTA180120100018693, 1,28520002,Marine 9 Facility (Homeport),Marine 9 Facility (Homeport), 124722.0,"SAGE AND COOMBE ARCHITECTS, LLP",12-16 VESTRY STREET,NEW YORK,NY,10013
NYCEDC,z81,CTA180120100018693, 3,28520002,Marine 9 Facility (Homeport),Marine 9 Facility (Homeport), 202532.0,"SAGE AND COOMBE ARCHITECTS, LLP",12-16 VESTRY STREET,NEW YORK,NY,10013
NYCEDC,z81,CTA180120107200422, 2,23100001,FA - Morris Heights Health Facility,FA - Morris Heights Health Facility, 12650000.0,To Be Announced,N/A,N/A,N/A,N/A
NYCEDC,z81,CTA180120107200422, 1,23100001,FA - Morris Heights Health Facility,FA - Morris Heights Health Facility, 12650000.0,To Be Announced,N/A,N/A,N/A,N/A
NYCEDC,z81,CTA180120107200512, 18,27360014,Queens West/Hunter's Point South,Queens West/Hunter's Point South, 244469.99,CRUZ CONTRACTORS LLC,952 HOLMEDEL ROAD,HOLMEDE,NJ,7733
NYCEDC,z81,CTA180120107200512, 6,27360013,Queens West/Hunter's Point South,Queens West/Hunter's Point South, 11820169.0,GALVIN BROTHERS,149 STEAM BOAT ROAD,GREAT NECK,NY,11024
NYCEDC,z81,CTA180120107200512, 14,27360011,Queens West/Hunter's Point South,Queens West/Hunter's Point South, 203000.0,"LIRO ENGINEERS, INC.",THREE AERIAL WAY,SYOSSET,NEW YORK,11791
NYCEDC,z81,CTA180120107200512, 16,27360014,Queens West/Hunter's Point South,Queens West/Hunter's Point South, 225788.58,CRUZ CONTRACTORS LLC,952 HOLMEDEL ROAD,HOLMEDE,NJ,7733
NYCEDC,z81,CTA180120107200512, 13,27360014,Queens West/Hunter's Point South,Queens West/Hunter's Point South, 358603.65,CRUZ CONTRACTORS LLC,952 HOLMEDEL ROAD,HOLMEDE,NJ,7733
NYCEDC,z81,CTA180120107200512, 1,16850006,Queens West/Hunter's Point South,Queens West/Hunter's Point South, 89500.0,"HUNTER ROBERTS CONSTRUCTION GROUP, LLC",2 WORLD FINANCIAL CENTER,NEW YORK,NY,10281
NYCEDC,z81,CTA180120107200512, 11,20160014,Queens West/Hunter's Point South,Queens West/Hunter's Point South, 10000.0,To Be Announced,N/A,N/A,N/A,N/A
NYCEDC,z81,CTA180120107200512, 7,27360014,Queens West/Hunter's Point South,Queens West/Hunter's Point South, 8600000.0,CRUZ CONTRACTORS LLC,952 HOLMEDEL ROAD,HOLMEDE,NJ,7733
NYCEDC,z81,CTA180120107200512, 15,27360014,Queens West/Hunter's Point South,Queens West/Hunter's Point South, 325587.5,CRUZ CONTRACTORS LLC,952 HOLMEDEL ROAD,HOLMEDE,NJ,7733
NYCEDC,z81,CTA180120107200512, 10,27360014,Queens West/Hunter's Point South,Queens West/Hunter's Point South, 166954.13,CRUZ CONTRACTORS LLC,952 HOLMEDEL ROAD,HOLMEDE,NJ,7733
NYCEDC,z81,CTA180120107200512, 3,27360012,Queens West/Hunter's Point South,Queens West/Hunter's Point South, 50192.89,"NASDI, LLC",1365 MAIN STREET,WALTHAM,MA,2451
NYCEDC,z81,CTA180120107200512, 20,27360014,Queens West/Hunter's Point South,Queens West/Hunter's Point South, 65336.26,CRUZ CONTRACTORS LLC,952 HOLMEDEL ROAD,HOLMEDE,NJ,7733
NYCEDC,z81,CTA180120107200512, 2,16850006,Queens West Development,Queens West Development, 75442.46,"HUNTER ROBERTS CONSTRUCTION GROUP, LLC",2 WORLD FINANCIAL CENTER,NEW YORK,NY,10281
NYCEDC,z81,CTA180120107200512, 19,27360013,Queens West/Hunter's Point South,Queens West/Hunter's Point South, 98109.35,GALVIN BROTHERS,149 STEAM BOAT ROAD,GREAT NECK,NY,11024
NYCEDC,z81,CTA180120107200512, 17,27360011,Queens West/Hunter's Point South,Queens West/Hunter's Point South, 196000.0,"LIRO ENGINEERS, INC.",THREE AERIAL WAY,SYOSSET,NEW YORK,11791
NYCEDC,z81,CTA180120107200512, 4,27360014,Queens West/Hunter's Point South,Queens West/Hunter's Point South, 8243128.0,CRUZ CONTRACTORS LLC,952 HOLMEDEL ROAD,HOLMEDE,NJ,7733
NYCEDC,z81,CTA180120107200512, 12,27360014,Queens West/Hunter's Point South,Queens West/Hunter's Point South, 26681.43,CRUZ CONTRACTORS LLC,952 HOLMEDEL ROAD,HOLMEDE,NJ,7733
NYCEDC,z81,CTA180120107200512, 9,27360014,Queens West/Hunter's Point South,Queens West/Hunter's Point South, 506452.74,CRUZ CONTRACTORS LLC,952 HOLMEDEL ROAD,HOLMEDE,NJ,7733
NYCEDC,z81,CTA180120107200512, 5,27360012,Queens West/Hunter's Point South,Queens West/Hunter's Point South, 0.0,"NASDI, LLC",1365 MAIN STREET,WALTHAM,MA,2451
NYCEDC,z81,CTA180120107200512, 8,27360014,Queens West/Hunter's Point South,Queens West/Hunter's Point South, 26983.92,CRUZ CONTRACTORS LLC,952 HOLMEDEL ROAD,HOLMEDE,NJ,7733
NYCEDC,z81,CTA180120107200526, 1,16850006,Randalls Island Comfort Station,Randalls Island Comfort Station, 67139.0,"HUNTER ROBERTS CONSTRUCTION GROUP, LLC",2 WORLD FINANCIAL CENTER,NEW YORK,NY,10281
NYCEDC,z81,CTA180120107200526, 2,16850006,Randalls Island Comfort Station,Randalls Island Comfort Station, 131925.0,"HUNTER ROBERTS CONSTRUCTION GROUP, LLC",2 WORLD FINANCIAL CENTER,NEW YORK,NY,10281
NYCEDC,z81,CTA180120107200526, 3,16850006,Randalls Island Comfort Station,Randalls Island Comfort Station, 111160.75,"HUNTER ROBERTS CONSTRUCTION GROUP, LLC",2 WORLD FINANCIAL CENTER,NEW YORK,NY,10281
NYCEDC,z81,CTA180120107200526, 4,16850006,Randalls Island Comfort Station,Randalls Island Comfort Station, 9058.0,"HUNTER ROBERTS CONSTRUCTION GROUP, LLC",2 WORLD FINANCIAL CENTER,NEW YORK,NY,10281
NYCEDC,z81,CTA180120107200586, 4,16850004,1680 Lexington Avenue  - Ventiliation,1680 Lexington Avenue  - Ventiliation, 43338.79,HUDSON MERIDIAN CONSTRUCTION GROUP,40 RECTOR STREET,NEW YORK,NY,10006
NYCEDC,z81,CTA180120107200586, 2,16850004,1680 Lexington Avenue  - Ventiliation,1680 Lexington Avenue  - Ventiliation, 662000.0,HUDSON MERIDIAN CONSTRUCTION GROUP,40 RECTOR STREET,NEW YORK,NY,10006
NYCEDC,z81,CTA180120107200586, 3,16850004,1680 Lexington Avenue  - Ventiliation,1680 Lexington Avenue  - Ventiliation, 30479.64,HUDSON MERIDIAN CONSTRUCTION GROUP,40 RECTOR STREET,NEW YORK,NY,10006
NYCEDC,z81,CTA180120107200586, 1,16850004,1680 Lexington Avenue  - Ventiliation,1680 Lexington Avenue  - Ventiliation, 98600.0,HUDSON MERIDIAN CONSTRUCTION GROUP,40 RECTOR STREET,NEW YORK,NY,10006
NYCEDC,z81,CTA180120107200782, 6,28520001,Marine 9 Facility (Homeport),Marine 9 Facility (Homeport), 285030.6,To Be Announced,N/A,N/A,N/A,N/A
NYCEDC,z81,CTA180120107200782, 5,28520001,Marine 9 Facility (Homeport),Marine 9 Facility (Homeport), 9900900.0,To Be Announced,N/A,N/A,N/A,N/A
NYCEDC,z81,CTA180120107200782, 2,28520001,Marine 9 Facility (Homeport),Marine 9 Facility (Homeport), 1460000.0,To Be Announced,N/A,N/A,N/A,N/A
NYCEDC,z81,CTA180120107200782, 1,28520001,Marine 9 Facility (Homeport),Marine 9 Facility (Homeport), 209200.0,To Be Announced,N/A,N/A,N/A,N/A
NYCEDC,z81,CTA180120107200782, 3,28520001,Marine 9 Facility (Homeport),Marine 9 Facility (Homeport), 5847706.0,To Be Announced,N/A,N/A,N/A,N/A
NYCEDC,z81,CTA180120107200782, 4,28520001,Marine 9 Facility (Homeport),Marine 9 Facility (Homeport), 736800.0,To Be Announced,N/A,N/A,N/A,N/A
NYCEDC,z81,CTA180120107200886, 3,13690007,SBMT - Axis,SBMT - Axis, 2139645.0,TRIUMPH CONSTRUCTION CORPORTATION,1354 SENECA AVENUE,BRONX,NY,10474
NYCEDC,z81,CTA180120107200886, 15,13690007,SBMT - Axis,SBMT - Axis, 1870186.75,TRIUMPH CONSTRUCTION CORPORTATION,1354 SENECA AVENUE,BRONX,NY,10474
NYCEDC,z81,CTA180120107200886, 2,13690004,SBMT - Axis,SBMT - Axis, 63247.3,TULLY CONSTRUCTION,127-50 NORTHERN BLVD,FLUSHING,NY,11368
NYCEDC,z81,CTA180120107200886, 4,13690007,SBMT - Axis,SBMT - Axis, 1009017.75,TRIUMPH CONSTRUCTION CORPORTATION,1354 SENECA AVENUE,BRONX,NY,10474
NYCEDC,z81,CTA180120107200886, 9,13690007,SBMT - Axis,SBMT - Axis, 504509.96,TRIUMPH CONSTRUCTION CORPORTATION,1354 SENECA AVENUE,BRONX,NY,10474
NYCEDC,z81,CTA180120107200886, 13,16850005,SBMT - Axis,SBMT - Axis, 144178.0,TURNER CONSTRUCTION CO.,375 HUDSON STREET,NEW YORK,NY,10014
NYCEDC,z81,CTA180120107200886, 8,13690006,SBMT - Axis,SBMT - Axis, 703420.24,"HAKS ENGINEERS & LAND SURVEYOR, PC","40 WALL STREET, 11TH FLOOR",NEW YORK,NY,10005
NYCEDC,z81,CTA180120107200886, 17,13690006,SBMT - Axis,SBMT - Axis, 648066.0,"HAKS ENGINEERS & LAND SURVEYOR, PC","40 WALL STREET, 11TH FLOOR",NEW YORK,NY,10005
NYCEDC,z81,CTA180120107200886, 7,13690008,SBMT - Axis,SBMT - Axis, 664764.13,To Be Announced,N/A,N/A,N/A,N/A
NYCEDC,z81,CTA180120107200886, 16,13690007,SBMT - Axis,SBMT - Axis, 619198.23,TRIUMPH CONSTRUCTION CORPORTATION,1354 SENECA AVENUE,BRONX,NY,10474
NYCEDC,z81,CTA180120107200886, 5,13690007,SBMT - Axis,SBMT - Axis, 72385.15,TRIUMPH CONSTRUCTION CORPORTATION,1354 SENECA AVENUE,BRONX,NY,10474
NYCEDC,z81,CTA180120107200886, 1,13690004,SBMT - Axis,SBMT - Axis, 117849.36,TULLY CONSTRUCTION,127-50 NORTHERN BLVD,FLUSHING,NY,11368
NYCEDC,z81,CTA180120107200886, 12,13690007,SBMT - Axis,SBMT - Axis, 2029320.0,TRIUMPH CONSTRUCTION CORPORTATION,1354 SENECA AVENUE,BRONX,NY,10474
NYCEDC,z81,CTA180120107200886, 14,13690007,SBMT - Axis,SBMT - Axis, 92158.68,TRIUMPH CONSTRUCTION CORPORTATION,1354 SENECA AVENUE,BRONX,NY,10474
NYCEDC,z81,CTA180120107200886, 10,13690007,SBMT - Axis,SBMT - Axis, 154888.66,TRIUMPH CONSTRUCTION CORPORTATION,1354 SENECA AVENUE,BRONX,NY,10474
NYCEDC,z81,CTA180120107200886, 6,16850005,SBMT - Axis,SBMT - Axis, 135262.0,TURNER CONSTRUCTION CO.,375 HUDSON STREET,NEW YORK,NY,10014
NYCEDC,z81,CTA180120107200886, 11,16850005,SBMT - Axis,SBMT - Axis, 111803.0,TURNER CONSTRUCTION CO.,375 HUDSON STREET,NEW YORK,NY,10014
NYCEDC,z81,CTA180120107200961, 1,16850003,80 CENTRE STREET BUILDING SYSTEMS,80 CENTRE STREET BUILDING SYSTEMS, 4522.78,To Be Announced,N/A,N/A,N/A,N/A
NYCEDC,z81,CTA180120107201366, 2,20330005,Downtown Brooklyn Redevelopment - Flatbush Myrtle Street,Downtown Brooklyn Redevelopment - Flatbush Myrtle Street, 164049.0,To Be Announced,N/A,N/A,N/A,N/A
NYCEDC,z81,CTA180120107201366, 3,20330005,Downtown Brooklyn Redevelopment - Flatbush Myrtle Street,Downtown Brooklyn Redevelopment - Flatbush Myrtle Street, 177787.61,To Be Announced,N/A,N/A,N/A,N/A
NYCEDC,z81,CTA180120107201366, 1,20330005,Downtown Brooklyn Redevelopment - Flatbush Myrtle Street,Downtown Brooklyn Redevelopment - Flatbush Myrtle Street, 10501306.66,To Be Announced,N/A,N/A,N/A,N/A
NYCEDC,z81,CTA180120107201561, 5,1850112,28th Avenue and Linden Place Area,28th Avenue and Linden Place Area, 51100.0,To Be Announced,N/A,N/A,N/A,N/A
NYCEDC,z81,CTA180120107201561, 4,1850118,28th Avenue and Linden Place Area,28th Avenue and Linden Place Area, 1663358.0,To Be Announced,N/A,N/A,N/A,N/A
NYCEDC,z81,CTA180120107201561, 2,1850117,28th Avenue and Linden Place Area,28th Avenue and Linden Place Area, 64955.68,TRIUMPH CONSTRUCTION CORPORTATION,1354 SENECA AVENUE,BRONX,NY,10474
NYCEDC,z81,CTA180120107201561, 3,1850112,28th Avenue and Linden Place Area,28th Avenue and Linden Place Area, 370000.0,To Be Announced,N/A,N/A,N/A,N/A
NYCEDC,z81,CTA180120107201561, 1,1850117,28th Avenue and Linden Place Area,28th Avenue and Linden Place Area, 546254.84,TRIUMPH CONSTRUCTION CORPORTATION,1354 SENECA AVENUE,BRONX,NY,10474
